state   wait   date   busNumber   departureTerminal   estimatedDepartureTime   duration   arrivalTerminal   estimatedArrivalTime   fare   seatAvailability
Johor Baharu   Kelantan   2024-06-16   2   Terminal D   09:00   9 hours   Terminal A   18:00   MYR22   80
Johor Baharu   Kelantan   2024-06-16   3   Terminal D   10:00   9 hours   Terminal A   19:00   MYR22   80
Johor Baharu   Kelantan   2024-06-16   4   Terminal D   11:00   9 hours   Terminal A   20:00   MYR22   80
Johor Baharu   Kelantan   2024-06-16   5   Terminal D   12:00   9 hours   Terminal A   21:00   MYR22   80
Johor Baharu   Kelantan   2024-06-16   6 (Overnight class)   Terminal D   00:00   9 hours   Terminal A   09:00   MYR20   80
Kelantan   Johor Baharu   2024-06-16   1   Terminal D   08:00   9 hours   Terminal A   17:00   MYR22   80
Kelantan   Johor Baharu   2024-06-16   2   Terminal D   09:00   9 hours   Terminal A   18:00   MYR22   80
Kelantan   Johor Baharu   2024-06-16   3   Terminal D   10:00   9 hours   Terminal A   19:00   MYR22   80
Kelantan   Johor Baharu   2024-06-16   4   Terminal D   11:00   9 hours   Terminal A   20:00   MYR22   80
Kelantan   Johor Baharu   2024-06-16   5   Terminal D   12:00   9 hours   Terminal A   21:00   MYR22   80
Kelantan   Johor Baharu   2024-06-16   6 (Overnight class)   Terminal D   00:00   9 hours   Terminal A   09:00   MYR20   80
